0=正确|Correct
8401=请求确认投资者编号为空|Settlementinfo confirm investorid is null!
8402=请求确认信息格式有误|Request settlementinfo confirm form error!
8403=请求确认的投资者不存在|Cannot find settlementinfo confirm investor!
8404=客户未确认结算单|settlement has not been confirmed!
8405=错误次数超过最大限制|exceed max count failing to login!
8406=因输入密码错误超过最大限制而冻结|inhibit to login due to fail too much!
8407=IP地址禁止登录|inhibit to login due to ip adress!
8408=本中心不允许该客户交易|inhibit to login on this center!
8409=过滤重复|ignore the duplicated message!
8420=银期转帐帐号出错|The account for bankfuture trans is invalid!
8421=超出金转帐总额度|Money is out of range!
8422=超出金转帐总次数|Times is out of range!
8423=高于单笔最大转帐额度|More than maximum transfer limit per time!
8424=低于单笔最小转帐额度|Less than minimum transfer limit per time!
8425=银期入金请求超时，转入自动冲正|Timeout for money form bank to future，switch to auto reversal!
8426=银期出金请求超时，转入自动冲正|Timeout for money form future to bank，switch to auto reversal!
8427=银期冻结出金资金请求超时|Timeout for frozen money form future to bank!
8428=找不到相关联的投资者账户|Can not find Related Account!
8429=找不到批量投资者转帐限额信息|Can not find translimit information!
8430=找不到某投资者具体当天转帐限额信息|Can not find current translimit information!
8431="银期出入金超时,并且银期冲正请求超时,请联系柜台"|Timeout for money reversal!
8432=没有对应关联银行帐号|no register bank account!
8433=没有对应银期转账流水|no transfer record!
8434=银期系统操作数据库失败|operater DB failed!
8435=银期冲正参数和数据库记录不匹配|the param is not correct!
8436=银期待冲正流水记录在数据中显示为转账不成功|the transfer record is not successfull!
8437=银行签到超时|Timeout for sign in to bank!
8438=银行签退超时|Timeout for sign out to bank!
8439=总线发送失败|Dxp Send Failed!
8440=期货发起入金未收到银期握手应答|Money In by future Not Received handshake!
8441=期货发起出金未收到银期握手应答|Money Out by future Not Received handshake!
8442=期货发起银行资金查询未收到银期握手应答|Query Balance by future Not Received handshake!
8443=期货发起期货流水查询未收到银期握手应答|Query Transfer Serial In by future Not Received handshake!
8444=期货发起关联账户查询未收到银期握手应答|Query Register Account by future Not Received handshake!
8445=银行编码BankID不匹配|BankID does not match
8446=入金预转账超时|Pre transfer bank to future timeout
8447=出金预转账超时|Pre transfer future to bank timeout
8448=预转账成功|Pre transfer success
8449=出金查询期货余额请求超时|Timeout for qry future avaiable!
8452=该笔出金触及飞马保底资金阀值|Min fund is touched!
8453=银行未签到|Bank is not sign up!
8454=加银期出入金表失败|add client in out table failed!
8455=银期转账银行账号错误|The bank account for bankfuture trans is invalid!
8456=银期转账资金账号错误|The future account for bankfuture trans is invalid!
8457=无投资者信息|no investor information!
8458=没有找到银行发起方参数配置|no bank param for function source!
8459=银行不支持该业务|not support by the direction!
8460=查询不到签约状态|no sign status!
8461=银行回应超时|Timeout for bank rsp!
8462=资金密码错误|Invalid Account Password
8463=没有找到资金密码检查参数配置|no bank param for check account pwd!
8464=没有找到客户类型检查参数配置|no bank param for check cust type!
8465=没有找到证件类型及号码检查参数配置|no bank param for check cert id and type!
8466=证件类型错误|Invalid Cert Type
8467=证件号码错误|Invalid Cert ID
8468=客户类型错误|Invalid Cust Type
8469=投资者号和资金账户不匹配|Investorid not matched account
8470=查不到前一交易日期|no pre trading day
8471=查不到当前交易日期|no current trading day
8472=查不到账户状态|no account status set
8473=该账户没有转账权限|no transfer righs
8474=该账户不能入金|not allow money in
8475=该账户不能出金|not allow money out
8476=冲正成功|success for reversal
8477=没有冲正记录|no reversal record
8478=已做出入金|allready money in out
8479=出入金失败|transfer failed
8480=没有出入金记录|no transfer record
8481=无客户签约关系|no sign releationship
8482=预转账对应的出入金成功且被冲正|pre trans success and then reversal
8483=预转账对应的出入金成功|pre trans success
8484=日期格式错误|invalid date format
8485=报盘通讯错误|bfmt offer communication error
8486=没预先出金不需释放|no need release frozen money
8487=期货出金冲正成功但未收到报盘出金通讯应答无需释放|reversal success but no need release frozen money
8488=自动冲正超时，因未收到报盘通讯应答，默认恢复飞马资金|Timeout for money reversal with no comm rsp!
8489=当日存在转账，不允许销户|no allow cancle account
8490=无需验证客户类别|no need check custom type
8491=资金为零或空|
8492=资金密码校验错误次数超限|verify fund pwd exceed limit
8493=该笔出金触及可提比例|extract rate is touched!
8494=出金金额大于可用资金|money out is greater than avialiable!
8495=没获取到系统状态|no system status!
8496=只可平仓盘中禁止出金|no allow money out while trading!
8497=禁用该银行银期功能|no allow transfer!
8598=签约关系不存在，不允许此交易|the contractual relationship does not exist and this transaction is not allowed!
8599=夜盘时间只允许入金，不允许出金|no allow money out during night plate!
8600=非银期转账时间|no transfer trading time!
8601=没有设置节假日日历|no calendar list!
8602=非交易日|no trading day!
8603=找不到银行给经纪公司的编码|no bank for broker id!
8604=找不到银行返回码信息|no bank error msg!
8605=转账金额非法|invalid trade amout!
8606=币种错误|invalid currency type!
8607="飞马入金失败,银行入金成功,飞马返回码:"|femas in failed by future!
8608="等待飞马入金超时,银行入金成功"|time out for the rsp by future in from femas!
8609=资金账户已和该银行其他银行账户签约|the account allready sign up with the other bankaccount!
8610=出金超净出金总额|out of range of net out limit!
8611=找不到该投资者号对应的资金账户|can not find account by investorid!
8612=投资者身份证过期|the id card is expired!
8613="银行出金失败,飞马释放失败，返回码:"|femas release failed!
8614="银行出金失败,飞马释放超时"|femas release timeout!
8615=银行出入金柜台处理超时|trans from bank timeout by femas!
8616="飞马恢复资金失败,银行出金冲正成功,飞马返回码:"|femas REVERSAL failed by future!
8617="等待飞马恢复资金超时,银行出金冲正成功"|time out for the rsp by future REVERSAL from femas!
8618=客户端不支持该业务(机构开户等)|signing a contract by institution is not supported on client side
8619=交易中心未启用|trading center is not work!
8620=交易中心未找到|trading center is not found!
8621=投资者在该柜台没有转账权限|no transfer righs with investor
8622=转账超时，冲正结果为:|transfer failed with the reversal result
8623=确认预出金成功(交易已预出金，此处不再处理)|pre money out success. This message will not be processed.
8624=组银行报文失败|make bank pack error.
8625=并行主席处理失败|send pack(moneyout) to parallel counter and return with errors.
8626=查询银行代码信息失败|query contract bank fail.
8450=撤销强平单需由管理员使用|Action Force Close Only Used By Administrator
8451=查询会员资金失败|Query Participant Account Failed
8500=委托类型字段错误|Invalid OrderType
8501=对冲标志字段错误|Invalid DeliveryFlag
8502=该交易所不支持行权指令|Not support exec order
8503=没有交易合约的权限|No Trading Instrument Right
8504=查询信用额度失败|Query Credit Limit Failed
10000=无效的期权组合合约|Invalid Option Comb Instrument
10001=找不到客户费率模板|Can not find client fee template
10002=找不到客户保证金率模板|Can not find client margin template
10003=找不到组合的单腿合约|Can not find leg Instrument
10004=期权执行时客户持仓不足|No Enough ClientPosition to Exec
10005=市场已收盘|Market Closed
10006=用户投资者字段错误|Invalid UserInvestor field
10007=密码过于简单|Password Too Simple
10008=用户字段错误|Invalid User field
10009=密码包含投资者ID|Password contain investorid
10010=密码包含身份证号|Password contain careNo
10011=此报单可能会自成交|Order may self closing
10012=超过合约单笔下单限制|Exceed the instrument order volume limit per time
10013=超过合约买持仓限制|Exceed the instrument buy position limit
10014=超过合约卖持仓限制|Exceed the instrument sell position limit
10015=超过合约双向持仓限制|Exceed the instrument both position limit
10016=下单速度超过最小间隔|Exceed the order mini interval limit
10017=保证金/总权益超限|Exceed the margin used rate limit
10018=不能撤期转现订单|Can not withdraw efp order
10019=本地报单编号字段错误|Invalid OrderlocalID
10020=序列号字段错误|Invalid SequenceNo
10021=现货名称字段错误|Invalid Spotname
10022=现货代码字段错误|Invalid Spotcode
10023=成交日期字段错误|Invalid Tradingday
10024=成交净价字段错误|Invalid Price
10025=成交总额字段错误|Invalid Trueover
10026=成交单号字段错误|Invalid TradeID
10027=风险值字段错误|Invalid RiskValue
10028=现货信息是否有效标志字段错误|Invalid ValidFlag
10035=组合委托不支持市价|Market Order Not Combination
10036=未开启的服务|Business Not Enabled
10040=非法的AppID或者RelayID|Invalid DS AppID or RealyID
10041=穿透监管用户认证失败|DS User Certificate Failed
10042=AppID不活跃|DS AppID Not Active
10043=AppID或者授权码错误|AppID or Authcode error
15000=交易成功|
16001=银行密码错|
16002=银行账户余额不足|
16003=累计金额超限|
16004=重复的交易批次号及证券交易流水号|
16005=被冲正流水不存在|
16006=该流水已冲正|
16007=冲正流水信息不符|
16008="银行账户余额不足,不允许冲正"|
16009=清算账户余额不足 对公账户|
16010=清算账户状态错|
16011=被查询流水不存在|
16012=证件不符|
16013=银行账户状态错|
16014=银行账户不存在|
16015=银行账户已经销户|
16016=证券账户与银行账户未建立对应关系|
16017=证券账户与银行账户已建立对应关系|
16018=银行账户转账功能未开启|
16019=银行账户转账功能已关闭|
16020=银行产生流水号错|
16021=通存通兑功能已关闭|
16022=证券账户不存在|
16024=交易金额超限|
16025=被查询流水已成功|
16026=被查询流水已失败|
16028=被查询流水状态未知|
16032=日期不符|
16033=无此交易|
16034=此交易未开通|
16037=转账功能未开通|
16038=无效银行号|
16039=证券公司尚未签退|
16040=银行主机拒绝签到|
16041=银行主机系统错误|
16043=通信校验错误|
16044=通信消息体格式错误|
16052=管理账户余额不足|
17001=资金密码校验错误|
17002=资金账户余额不足|
17004=银行流水号重复|
17005=被冲正流水不存在（冲正交易）|
17006=原流水已冲正（冲正交易）|
17007=与原流水信息不符（冲正交易）|
17008="资金账户余额不足,不允许冲正"|
17009=身份证号码不符|
17010=资金账户状态不正常|
17011=资金账户不存在|
17012=资金账户已经销户|
17013=资金账户与银行方账户未建立对应关系|
17014=资金账户与银行方账户已建立对应关系|
17015=该客户转账功能未开启|
17016=客户被限制转账|
17018=预约流水不存在|
17019=预约流水信息不符|
17020=预约流水已取款|
17021=预约流水未生效|
17024=单笔金额超限|
17025=被查询流水已成功|
17026=被查询流水已失败|
17027=被查询流水不存在|
17028=被查询流水状态未知|
17031=营业部编码错|
17032=系统尚未换日|
17034=不允许该操作方式|
17038="当天有业务发生,不允许销户"|
17041=服务器系统错误|
17042=MAC 校验错|
17047=账户姓名不符|
18001=银行账号校验错|
18002=股东账号校验错|
18003=对应关系状态错|
18006=新工作密钥生成失败|
18007=转账时间已过|
18011=币种错|
18013=已开通其他银行|
18052=操作柜员错|
18053=银行暂停交易|
18054=银行代码错|
18091=银证系统错误|
18092=取银行明细失败|
18093=取证券明细失败|
20001=该客户不存在|
20002=该银行账号已开通存管功能|
20003=该客户已冻结|
20004=该客户未冻结|
20005=该客户已挂失|
20006=该客户未挂失|
20007=该客户已销户|
20008=该客户状态不正常|
20010=证件类型不符|
20011=证件号码不符|
20012=客户无此权限|
20013=无此资金账户|
20014=银行账户状态错|
20015=客户类型不能为空|
20016=该账户不属于同一个客户|
20017=无此客户信息|
20018=客户已开户|
20019=银行账户已存在|
20020=开通存管客户失败|
